head,relation,tail,label
dt_Q9HC21,drug,drug_9068,1
dt_Q92887,drug,drug_59844,1
dt_Q96FL8,drug,drug_4091,1
dt_Q8TCC7,drug,drug_65028,1
dt_O94956,drug,drug_23684123,1
dt_Q92887,drug,drug_5282451,1
dt_P33527,drug,drug_104978,1
dt_Q9NSA0,drug,drug_33032,1
dt_O15439,drug,drug_4112,1
dt_Q92887,drug,drug_5280360,1
dt_P11166,drug,drug_24577,1
dt_Q92887,drug,drug_3002190,1
dt_O95255,drug,drug_30323,1
dt_Q9BQT8,drug,drug_71,1
dt_O15245,drug,drug_5078,1
dt_P33527,drug,drug_30323,1
dt_O15439,drug,drug_2764,1
dt_Q9UNQ0,drug,drug_45375806,1
dt_Q92959,drug,drug_5311221,1
dt_O43868,drug,drug_5064,1
dt_Q12908,drug,drug_221493,1
dt_O15427,drug,drug_612,1
dt_Q9Y6L6,drug,drug_3962,1
dt_P08183,drug,drug_2353,1
dt_Q92887,drug,drug_3121,1
dt_P53985,drug,drug_612,1
dt_Q9Y289,drug,drug_9883933,1
dt_Q13183,drug,drug_867,1
dt_P08183,drug,drug_5568,1
dt_Q9Y6L6,drug,drug_216239,1
dt_P08183,drug,drug_10206,1
dt_P46059,drug,drug_4488490,1
dt_Q9UNQ0,drug,drug_148123,1
dt_P08183,drug,drug_216239,1
dt_P08183,drug,drug_8223,1
dt_P46721,drug,drug_4112,1
dt_P46721,drug,drug_5280360,1
dt_Q92887,drug,drug_60934,1
dt_P08183,drug,drug_72429,1
dt_Q15758,drug,drug_145068,1
dt_Q9NQ40,drug,drug_493570,1
dt_Q9UNQ0,drug,drug_13342,1
dt_Q9Y6L6,drug,drug_3657,1
dt_O15439,drug,drug_97226,1
dt_P08183,drug,drug_42107,1
dt_P08183,drug,drug_107903,1
dt_Q16348,drug,drug_107807,1
dt_Q92887,drug,drug_92727,1
dt_P46721,drug,drug_5281887,1
dt_Q9BXS9,drug,drug_769,1
dt_Q9UBD6,drug,drug_222,1
dt_Q92887,drug,drug_3222,1
dt_P08183,drug,drug_644241,1
dt_P08183,drug,drug_101744,1
dt_P08183,drug,drug_2708,1
dt_O75751,drug,drug_4091,1
dt_P08183,drug,drug_5991,1
dt_Q9H2B4,drug,drug_1117,1
dt_O15439,drug,drug_3035026,1
dt_P46059,drug,drug_72172,1
dt_Q9UNQ0,drug,drug_24812758,1
dt_P08183,drug,drug_9821217,1
dt_Q9NSA0,drug,drug_54687,1
dt_P46721,drug,drug_9848818,1
dt_Q8TCC7,drug,drug_23700083,1
dt_O15245,drug,drug_2771,1
dt_Q92887,drug,drug_104842,1
dt_O15244,drug,drug_4091,1
dt_P46721,drug,drug_5253,1
dt_Q92887,drug,drug_5361871,1
dt_Q15758,drug,drug_5961,1
dt_P08183,drug,drug_5360621,1
dt_P08183,drug,drug_2351,1
dt_O15440,drug,drug_135398658,1
dt_O15439,drug,drug_135398658,1
dt_P53985,drug,drug_7405,1
dt_P46721,drug,drug_443289,1
dt_P08183,drug,drug_10182969,1
dt_Q9Y345,drug,drug_750,1
dt_Q92887,drug,drug_1983,1
dt_P08183,drug,drug_54680692,1
dt_Q8TCC7,drug,drug_35370,1
dt_Q9UNQ0,drug,drug_5280961,1
dt_Q92887,drug,drug_60172,1
dt_P08183,drug,drug_183797,1
dt_Q8NDX2,drug,drug_33032,1
dt_Q9Y694,drug,drug_3385,1
dt_Q2M3M2,drug,drug_108223,1
dt_Q9BZV2,drug,drug_4091,1
dt_Q92887,drug,drug_54687,1
dt_P08183,drug,drug_135398737,1
dt_P08183,drug,drug_3559,1
dt_P08183,drug,drug_71144,1
dt_Q96NT5,drug,drug_4112,1
dt_P08183,drug,drug_6917778,1
dt_Q8NBI5,drug,drug_667490,1
dt_Q9UNQ0,drug,drug_636397,1
dt_Q01959,drug,drug_3007,1
dt_Q8IY50,drug,drug_6042,1
dt_Q8TF71,drug,drug_6305,1
dt_P08183,drug,drug_114976,1
dt_Q1EHB4,drug,drug_243,1
dt_O15440,drug,drug_129670681,1
dt_P08183,drug,drug_1775,1
dt_P46721,drug,drug_149096,1
dt_P08183,drug,drug_24812758,1
dt_Q15758,drug,drug_6288,1
dt_Q9H015,drug,drug_10917,1
dt_P08183,drug,drug_596,1
dt_Q9UNQ0,drug,drug_65217,1
dt_O15245,drug,drug_5748,1
dt_P55017,drug,drug_4170,1
dt_P08183,drug,drug_5281878,1
dt_Q9Y5Y0,drug,drug_5280343,1
dt_P08183,drug,drug_3002977,1
dt_Q9NSA0,drug,drug_3001028,1
dt_Q9NPD5,drug,drug_3001028,1
dt_O15245,drug,drug_5927,1
dt_P48065,drug,drug_145742,1
dt_P21439,drug,drug_13342,1
dt_P46059,drug,drug_5038,1
dt_P08183,drug,drug_134780,1
dt_P08183,drug,drug_6047,1
dt_Q4U2R8,drug,drug_3325,1
dt_Q9Y6L6,drug,drug_60934,1
dt_P08183,drug,drug_55191,1
dt_Q9NPD5,drug,drug_5281078,1
dt_P08183,drug,drug_60934,1
dt_P33527,drug,drug_2520,1
dt_Q8NFH8,drug,drug_216239,1
dt_P08183,drug,drug_5865,1
dt_P46059,drug,drug_139030315,1
dt_P08183,drug,drug_5280880,1
dt_Q8N8R3,drug,drug_9085,1
dt_Q9UGH3,drug,drug_54670067,1
dt_Q9Y6L6,drug,drug_6917707,1
dt_P08183,drug,drug_65217,1
dt_O94956,drug,drug_3310,1
dt_P46059,drug,drug_6321416,1
dt_P08183,drug,drug_124886,1
dt_Q16348,drug,drug_3222,1
dt_P08183,drug,drug_3033832,1
dt_P50443,drug,drug_1117,1
dt_Q9Y694,drug,drug_3255,1
dt_O15245,drug,drug_35370,1
dt_P08183,drug,drug_2733525,1
dt_Q96JT2,drug,drug_5988,1
dt_Q9Y6L6,drug,drug_221493,1
dt_O15245,drug,drug_60825,1
dt_Q9NPD5,drug,drug_148123,1
dt_Q92887,drug,drug_14982,1
dt_Q9UNQ0,drug,drug_2375,1
dt_O15439,drug,drug_35370,1
dt_Q9UNQ0,drug,drug_92727,1
dt_P31645,drug,drug_4640,1
dt_Q2M3M2,drug,drug_5984,1
dt_O75751,drug,drug_187,1
dt_Q8TCC7,drug,drug_54675776,1
dt_Q92887,drug,drug_3001028,1
dt_Q96FL8,drug,drug_46220502,1
dt_Q8N695,drug,drug_9883933,1
dt_Q13621,drug,drug_5234,1
dt_O15245,drug,drug_1102,1
dt_Q99884,drug,drug_145742,1
dt_Q8WUX1,drug,drug_5950,1
dt_Q96FL8,drug,drug_3229,1
dt_P46721,drug,drug_65999,1
dt_P08183,drug,drug_5672,1
dt_Q92887,drug,drug_644241,1
dt_Q15758,drug,drug_23665721,1
dt_Q9UNQ0,drug,drug_41867,1
dt_P08183,drug,drug_3016,1
dt_O15245,drug,drug_4913,1
dt_Q9UNQ0,drug,drug_6024,1
dt_P08183,drug,drug_11556711,1
dt_Q9Y6L6,drug,drug_443874,1
dt_Q92959,drug,drug_5280723,1
dt_O15439,drug,drug_104842,1
dt_Q4U2R8,drug,drug_3440,1
dt_Q96FL8,drug,drug_13597,1
dt_P46721,drug,drug_72474,1
dt_Q8TCC7,drug,drug_33255,1
dt_P46059,drug,drug_59844,1
dt_Q9UNQ0,drug,drug_54369,1
dt_Q92887,drug,drug_57697,1
dt_P08183,drug,drug_2249,1
dt_Q16348,drug,drug_91270,1
dt_P46721,drug,drug_159594,1
dt_Q9Y6L6,drug,drug_104865,1
dt_Q9UNQ0,drug,drug_101524,1
dt_Q9NRA2,drug,drug_188803,1
dt_P08183,drug,drug_4594,1
dt_Q92887,drug,drug_3383,1
dt_Q13183,drug,drug_1117,1
dt_Q9UNQ0,drug,drug_3652,1
dt_Q92959,drug,drug_5280363,1
dt_O15439,drug,drug_441300,1
dt_Q16348,drug,drug_6249,1
dt_P33527,drug,drug_3383,1
dt_Q99808,drug,drug_667490,1
dt_Q9NVC3,drug,drug_5961,1
dt_O76082,drug,drug_10917,1
dt_P08183,drug,drug_44205240,1
dt_Q16348,drug,drug_47499,1
dt_Q16348,drug,drug_3041,1
dt_P08183,drug,drug_3333,1
dt_Q01650,drug,drug_6274,1
dt_O15245,drug,drug_5291,1
dt_Q92887,drug,drug_6918204,1
dt_P08183,drug,drug_43815,1
dt_Q96FL8,drug,drug_23700083,1
dt_Q8NBW4,drug,drug_6322,1
dt_Q92887,drug,drug_60613,1
dt_Q9H015,drug,drug_3746,1
dt_P46721,drug,drug_5920,1
dt_P08183,drug,drug_2019,1
dt_P08183,drug,drug_5282443,1
dt_Q96FL8,drug,drug_2719,1
dt_Q9NPD5,drug,drug_3657,1
dt_P08183,drug,drug_5464184,1
dt_Q9Y6L6,drug,drug_54687,1
dt_O43826,drug,drug_5958,1
dt_Q96J66,drug,drug_4112,1
dt_Q4U2R8,drug,drug_76806,1
dt_P53985,drug,drug_338,1
dt_O60669,drug,drug_92879,1
dt_P48065,drug,drug_247,1
dt_O94956,drug,drug_5280360,1
dt_P08183,drug,drug_1972,1
dt_P33527,drug,drug_31703,1
dt_Q86VL8,drug,drug_2756,1
dt_P08183,drug,drug_2803,1
dt_Q96J66,drug,drug_5881,1
dt_P08183,drug,drug_41867,1
dt_O94956,drug,drug_3001028,1
dt_Q9NPD5,drug,drug_6675,1
dt_Q9H2Y9,drug,drug_5280360,1
dt_Q9UNQ0,drug,drug_4971,1
dt_Q8NA29,drug,drug_445580,1
dt_O15245,drug,drug_60857,1
dt_Q9H015,drug,drug_596,1
dt_O76082,drug,drug_1,1
dt_Q9UNQ0,drug,drug_2092,1
dt_Q96NT5,drug,drug_148121,1
dt_O15245,drug,drug_3114,1
dt_P08183,drug,drug_60857,1
dt_P48664,drug,drug_33032,1
dt_Q92887,drug,drug_443289,1
dt_Q99808,drug,drug_6256,1
dt_Q4U2R8,drug,drug_5718,1
dt_O94956,drug,drug_5282451,1
dt_Q4U2R8,drug,drug_2609,1
dt_P46059,drug,drug_3749,1
dt_Q92887,drug,drug_644077,1
dt_Q15758,drug,drug_10917,1
dt_O94956,drug,drug_4075,1
dt_P08183,drug,drug_5566,1
dt_Q96NT5,drug,drug_135398658,1
dt_O15439,drug,drug_130881,1
dt_P55017,drug,drug_2471,1
dt_Q9Y6L6,drug,drug_5282451,1
dt_O15245,drug,drug_108107,1
dt_Q92887,drug,drug_64142,1
dt_O95342,drug,drug_3478,1
dt_A0PJK1,drug,drug_108223,1
dt_Q9NPD5,drug,drug_104978,1
dt_P08183,drug,drug_16362,1
dt_O15244,drug,drug_13597,1
dt_Q96J66,drug,drug_64987,1
dt_O60669,drug,drug_3121,1
dt_O15245,drug,drug_6380,1
dt_Q96FL8,drug,drug_2756,1
dt_Q96FL8,drug,drug_6333901,1
dt_Q9NPD5,drug,drug_5282451,1
dt_O15439,drug,drug_60172,1
dt_P08183,drug,drug_2247,1
dt_P08183,drug,drug_135445694,1
dt_P08183,drug,drug_54687,1
dt_O60669,drug,drug_3672,1
dt_Q9Y6L6,drug,drug_10140,1
dt_Q8TCC7,drug,drug_60613,1
dt_Q9Y6L6,drug,drug_60726,1
dt_P46721,drug,drug_1978,1
dt_Q9UNQ0,drug,drug_4893,1
dt_Q496J9,drug,drug_681,1
dt_Q9UNQ0,drug,drug_5339,1
dt_O43772,drug,drug_10917,1
dt_Q16348,drug,drug_38103,1
dt_Q9Y345,drug,drug_297812,1
dt_Q5T3U5,drug,drug_36314,1
dt_Q9Y6L6,drug,drug_3062316,1
dt_P08183,drug,drug_3519,1
dt_O76082,drug,drug_7045767,1
dt_O15245,drug,drug_2353,1
dt_O15245,drug,drug_2520,1
dt_Q9NPD5,drug,drug_5281887,1
dt_Q15758,drug,drug_71077,1
dt_P08183,drug,drug_15938,1
dt_O15438,drug,drug_23666345,1
dt_P08183,drug,drug_59844,1
dt_P08183,drug,drug_54697325,1
dt_P08183,drug,drug_5755,1
dt_Q96QD8,drug,drug_5961,1
dt_O95342,drug,drug_3476,1
dt_Q9Y6L6,drug,drug_9825919,1
dt_O15245,drug,drug_2803,1
dt_Q9UNQ0,drug,drug_4583,1
dt_O94911,drug,drug_442530,1
dt_Q92887,drug,drug_446157,1
dt_P08183,drug,drug_89921642,1
dt_P08183,drug,drug_24821094,1
dt_O15245,drug,drug_3410,1
dt_P08183,drug,drug_448537,1
dt_Q9Y6L6,drug,drug_6918204,1
dt_O95342,drug,drug_150311,1
dt_Q9UNQ0,drug,drug_5282451,1
dt_Q14542,drug,drug_667490,1
dt_Q8TCC7,drug,drug_130881,1
dt_Q9UNQ0,drug,drug_5280343,1
dt_O15245,drug,drug_5403,1
dt_Q01959,drug,drug_8584,1
