2022-06-10 19:55:12,637 INFO    MainThread:5386 [wandb_init.py:_resume_backend():327] resuming backend
2022-06-10 19:55:12,646 INFO    MainThread:5386 [wandb_init.py:_pause_backend():318] pausing backend
2022-06-10 19:55:12,646 INFO    MainThread:5386 [jupyter.py:save_ipynb():374] not saving jupyter notebook
2022-06-10 19:55:27,972 INFO    MainThread:5386 [wandb_init.py:_resume_backend():327] resuming backend
2022-06-10 19:55:27,993 INFO    MainThread:5386 [wandb_init.py:_pause_backend():318] pausing backend
2022-06-10 19:55:27,993 INFO    MainThread:5386 [jupyter.py:save_ipynb():374] not saving jupyter notebook
2022-06-10 19:57:57,718 INFO    MainThread:5386 [wandb_init.py:_resume_backend():327] resuming backend
2022-06-10 19:57:57,722 INFO    MainThread:5386 [wandb_init.py:_pause_backend():318] pausing backend
2022-06-10 19:57:57,722 INFO    MainThread:5386 [jupyter.py:save_ipynb():374] not saving jupyter notebook
2022-06-10 19:58:01,789 INFO    MainThread:5386 [wandb_init.py:_resume_backend():327] resuming backend
2022-06-10 19:58:01,944 INFO    MainThread:5386 [wandb_init.py:_pause_backend():318] pausing backend
2022-06-10 19:58:01,944 INFO    MainThread:5386 [jupyter.py:save_ipynb():374] not saving jupyter notebook
2022-06-10 19:58:19,125 INFO    MainThread:5386 [wandb_init.py:_resume_backend():327] resuming backend
2022-06-10 19:58:19,136 INFO    MainThread:5386 [wandb_init.py:_pause_backend():318] pausing backend
2022-06-10 19:58:19,136 INFO    MainThread:5386 [jupyter.py:save_ipynb():374] not saving jupyter notebook
2022-06-10 19:58:29,531 INFO    MainThread:5386 [wandb_init.py:_resume_backend():327] resuming backend
2022-06-10 19:58:29,542 INFO    MainThread:5386 [wandb_init.py:_pause_backend():318] pausing backend
2022-06-10 19:58:29,542 INFO    MainThread:5386 [jupyter.py:save_ipynb():374] not saving jupyter notebook
2022-06-10 19:58:41,321 INFO    MainThread:5386 [wandb_init.py:_resume_backend():327] resuming backend
2022-06-10 19:58:41,323 INFO    MainThread:5386 [wandb_init.py:_pause_backend():318] pausing backend
2022-06-10 19:58:41,324 INFO    MainThread:5386 [jupyter.py:save_ipynb():374] not saving jupyter notebook
2022-06-10 19:59:02,766 INFO    MainThread:5386 [wandb_init.py:_resume_backend():327] resuming backend
2022-06-10 19:59:02,768 INFO    MainThread:5386 [wandb_init.py:_pause_backend():318] pausing backend
2022-06-10 19:59:02,769 INFO    MainThread:5386 [jupyter.py:save_ipynb():374] not saving jupyter notebook
2022-06-10 19:59:07,354 INFO    MainThread:5386 [wandb_init.py:_resume_backend():327] resuming backend
2022-06-10 19:59:07,363 INFO    MainThread:5386 [wandb_init.py:_pause_backend():318] pausing backend
2022-06-10 19:59:07,363 INFO    MainThread:5386 [jupyter.py:save_ipynb():374] not saving jupyter notebook
2022-06-10 19:59:10,521 INFO    MainThread:5386 [wandb_init.py:_resume_backend():327] resuming backend
2022-06-10 19:59:10,529 INFO    MainThread:5386 [wandb_init.py:_pause_backend():318] pausing backend
2022-06-10 19:59:10,530 INFO    MainThread:5386 [jupyter.py:save_ipynb():374] not saving jupyter notebook
2022-06-10 19:59:13,269 INFO    MainThread:5386 [wandb_init.py:_resume_backend():327] resuming backend
2022-06-10 19:59:13,271 INFO    MainThread:5386 [wandb_init.py:_pause_backend():318] pausing backend
2022-06-10 19:59:13,271 INFO    MainThread:5386 [jupyter.py:save_ipynb():374] not saving jupyter notebook
2022-06-10 19:59:19,636 INFO    MainThread:5386 [wandb_init.py:_resume_backend():327] resuming backend
2022-06-10 19:59:19,640 INFO    MainThread:5386 [wandb_init.py:_pause_backend():318] pausing backend
2022-06-10 19:59:19,640 INFO    MainThread:5386 [jupyter.py:save_ipynb():374] not saving jupyter notebook
2022-06-10 19:59:28,953 INFO    MainThread:5386 [wandb_init.py:_resume_backend():327] resuming backend
2022-06-10 19:59:44,228 INFO    MainThread:5386 [wandb_init.py:_pause_backend():318] pausing backend
2022-06-10 19:59:44,229 INFO    MainThread:5386 [jupyter.py:save_ipynb():374] not saving jupyter notebook
2022-06-10 19:59:44,233 INFO    MainThread:5386 [wandb_init.py:_resume_backend():327] resuming backend
2022-06-10 19:59:44,234 INFO    MainThread:5386 [wandb_init.py:_pause_backend():318] pausing backend
2022-06-10 19:59:44,234 INFO    MainThread:5386 [jupyter.py:save_ipynb():374] not saving jupyter notebook
2022-06-10 19:59:44,239 INFO    MainThread:5386 [wandb_init.py:_resume_backend():327] resuming backend
